Subject ID,Bacteroides,Unclassified,Faecalibacterium,Prevotella,Blautia,Bifidobacterium,Roseburia,Parabacteroides,Subdoligranulum
N022487,7597,835,93,0,408,0,32,280,16
N022502,4388,1200,305,0,397,112,215,492,103
N022592,5173,1485,206,0,978,39,94,130,255
N022636,4802,924,1,0,654,1470,1,0,11
N022708,3980,997,10,48,380,66,119,152,36
N022765,3410,240,22,0,117,460,278,30,12
N022776,3660,2218,772,1,249,231,14,151,362
N022855,2284,2587,349,3,173,53,48,537,272
N022965,3810,1447,221,3,691,0,301,222,173
N023037,1589,1212,520,2,257,36,59,715,203
N023049,1830,3071,383,0,613,54,587,360,227
N023251,1084,855,1183,4230,524,219,326,32,143
N023301,4333,640,105,0,353,495,430,641,27
N023393,5251,1281,1,0,254,282,7,453,4
N023399,2353,593,919,1,617,2447,250,734,372
N023421,1280,2007,676,0,458,1731,47,277,568
N023439,1035,1144,840,3918,331,37,92,255,212
N023454,3757,1333,1281,0,451,226,399,30,460
N023486,993,2881,1943,1,146,55,511,28,131
N023490,1132,635,1281,0,893,1430,602,87,110
N023796,7698,246,0,0,160,298,132,136,100
N023920,3019,351,0,0,489,1412,5,0,1
N023947,1030,939,3,5102,537,119,234,394,378
N023970,2936,1239,720,0,306,251,858,485,421
N023978,1563,414,654,3520,234,962,36,61,2
N024049,2664,1389,1179,1,857,645,880,94,532
N024067,3360,918,263,0,391,682,1203,644,213
N024068,411,1166,120,1,439,415,24,13,45
N024160,2610,515,692,2,494,741,55,365,0
N024268,3524,289,80,1,120,375,60,369,93
N024416,3652,1083,443,0,391,136,562,322,70
N024447,4039,1665,2,1,299,175,331,848,0
N024454,3756,1049,736,0,656,868,232,216,283
N024455,6340,223,784,1,378,494,73,55,0
N024572,3467,1028,821,0,205,1027,367,161,384
N024579,2025,4778,473,0,104,64,515,239,125
N024682,4175,242,1378,0,1547,143,188,398,567
N024704,5497,647,94,0,771,55,346,519,27
N024797,4852,822,661,1,353,894,0,453,108
N024935,3891,1267,238,176,786,279,153,614,164
N025005,1532,2143,1761,0,329,215,413,259,492
N025034,2157,1205,1535,0,997,1065,158,44,400
N025076,2247,1063,1208,1,1187,171,59,356,114
N025142,887,1419,1760,1275,1365,690,206,26,149
N025201,4637,1250,1544,0,249,85,450,22,212
N025271,4686,964,1389,0,936,163,138,15,97
N025300,2526,988,596,2231,376,86,446,175,94
N025689,2256,2493,973,0,315,500,580,138,281
N025704,5373,1299,952,0,251,0,197,265,62
N025707,4832,969,82,1,581,373,284,345,218
N025720,4592,1171,1610,0,71,893,854,34,248
N025811,3250,653,994,1,475,677,108,411,0
N025870,1063,971,536,4096,213,59,190,181,87
N025872,3120,429,230,7,50,3742,36,148,585
N025906,3481,1904,1,0,277,885,22,422,216
N026022,2727,1453,781,68,540,542,399,93,130
N026165,2335,1465,1036,697,295,247,211,234,329
N026253,786,859,763,3638,422,0,1768,31,78
N026359,5334,745,1715,0,129,37,180,110,204
N026479,5797,1700,503,4,213,294,62,155,0
N026529,707,4527,232,0,205,74,75,58,1534
N026538,1814,2374,1441,1,290,1204,54,168,213
N026547,1116,1694,1227,2320,677,36,1410,11,264
N026551,3990,840,739,0,358,397,1422,120,0
N026604,2559,1033,1875,1704,486,12,316,87,132
N026619,2880,1714,352,0,730,791,87,607,32
N026647,2421,1282,790,0,387,1029,283,653,320
N026771,67,919,868,0,1901,2897,128,0,0
